Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_reversible,1,Battery_Cell,
BT2,custombatteryconnector,1,Battery_Cell,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD123,17,D_Small,
"JP1, JP2, JP3, JP4",Jumper,4,Device_Jumper_NO_Small,
"L1, L2, L3",LED_3mm_reversible,3,LED,
"MH1, MH2, MH3, MH4, MH5",MountingHole_2.2mm_M2_ISO7380_Pad,5,MountingHole,
PSW1,MSK12C02_reversible,1,SW_DPDT_x2,
"R1, R2, R3",R_1206_DoubleSided,3,220,
RSW1,ResetSW,1,SW_Push,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Kailh_socket_PG1350_optional_reversible,17,MX_SW_HS,
SW19,EVQWGD001,1,EVQWGD001,
U1,ProMicro_v2,1,nice!nano,
